IB SYMBOL,PRODUCT DESCRIPTION (CLICK LINK FOR MORE DETAILS),SYMBOL,CURRENCY,WITH BASE CCY,IS APPLIED
AUD.CAD,Australian dollar,AUD.CAD,CAD,FALSE,FALSE
AUD.CHF,Australian dollar,AUD.CHF,CHF,FALSE,FALSE
AUD.CNH,Australian dollar,AUD.CNH,CNH,FALSE,FALSE
AUD.HKD,Australian dollar,AUD.HKD,HKD,FALSE,FALSE
AUD.JPY,Australian dollar,AUD.JPY,JPY,FALSE,FALSE
AUD.NZD,Australian dollar,AUD.NZD,NZD,FALSE,FALSE
AUD.SGD,Australian dollar,AUD.SGD,SGD,FALSE,FALSE
AUD.USD,Australian dollar,AUD.USD,USD,TRUE,TRUE
AUD.ZAR,Australian dollar,AUD.ZAR,ZAR,FALSE,FALSE
CAD.CHF,Canadian dollar,CAD.CHF,CHF,FALSE,FALSE
CAD.CNH,Canadian dollar,CAD.CNH,CNH,FALSE,FALSE
CAD.JPY,Canadian dollar,CAD.JPY,JPY,FALSE,FALSE
CHF.CNH,Swiss franc,CHF.CNH,CNH,FALSE,FALSE
CHF.CZK,Swiss franc,CHF.CZK,CZK,FALSE,FALSE
CHF.DKK,Swiss franc,CHF.DKK,DKK,FALSE,FALSE
CHF.HUF,Swiss franc,CHF.HUF,HUF,FALSE,FALSE
CHF.JPY,Swiss franc,CHF.JPY,JPY,FALSE,FALSE
CHF.NOK,Swiss franc,CHF.NOK,NOK,FALSE,FALSE
CHF.PLN,Swiss franc,CHF.PLN,PLN,FALSE,FALSE
CHF.SEK,Swiss franc,CHF.SEK,SEK,FALSE,FALSE
CHF.TRY,Swiss franc,CHF.TRY,TRY,FALSE,FALSE
CHF.ZAR,Swiss franc,CHF.ZAR,ZAR,FALSE,FALSE
CNH.HKD,Chinese Renminbi - Offshore,CNH.HKD,HKD,FALSE,FALSE
CNH.JPY,Chinese Renminbi - Offshore,CNH.JPY,JPY,FALSE,FALSE
DKK.JPY,Danish krone,DKK.JPY,JPY,FALSE,FALSE
DKK.NOK,Danish krone,DKK.NOK,NOK,FALSE,FALSE
DKK.SEK,Danish krone,DKK.SEK,SEK,FALSE,FALSE
EUR.AUD,European Monetary Union Euro,EUR.AUD,AUD,FALSE,FALSE
EUR.CAD,European Monetary Union Euro,EUR.CAD,CAD,FALSE,FALSE
EUR.CHF,European Monetary Union Euro,EUR.CHF,CHF,FALSE,FALSE
EUR.CNH,European Monetary Union Euro,EUR.CNH,CNH,FALSE,FALSE
EUR.CZK,European Monetary Union Euro,EUR.CZK,CZK,FALSE,FALSE
EUR.DKK,European Monetary Union Euro,EUR.DKK,DKK,FALSE,FALSE
EUR.GBP,European Monetary Union Euro,EUR.GBP,GBP,FALSE,FALSE
EUR.HKD,European Monetary Union Euro,EUR.HKD,HKD,FALSE,FALSE
EUR.HUF,European Monetary Union Euro,EUR.HUF,HUF,FALSE,FALSE
